id,long_name,short_name,def,mid,att,league_id,color1,color2,color3
1,Arsenal,Arsenal,77,80,83,1,ef0107,ffffff,
2,Aston Villa,Aston Villa,73,72,74,1,7a003c,94bee5,
3,Burnley,Burnley,70,69,73,1,661335,8dd2f1,
4,Chelsea,Chelsea,82,84,84,1,034594,ffffff,
5,Crystal Palace,Crystal Palace,73,74,74,1,1b458f,c4122e,
6,Everton,Everton,78,77,78,1,274488,ffffff,
7,Hull City,Hull,70,72,72,1,f5a12d,000000,
8,Leicester City,Leicester,71,71,71,1,0053a0,ffffff,
9,Liverpool,Liverpool,76,80,82,1,d00027,ffffff,
10,Manchester City,Manchester City,81,83,84,1,7dbeff,00003e,
11,Manchester United,Manchester Utd,79,80,82,1,e20e0e,ffffff,
12,Newcastle United,Newcastle,75,73,78,1,000000,ffffff,333333
13,Queens Park Rangers,QPR,69,74,76,1,ffffff,005cab,
14,Southampton,Southampton,75,76,77,1,ed1a3b,ffffff,
15,Stoke City,Stoke,75,75,75,1,e03a3e,ffffff,
16,Sunderland,Sunderland,73,73,75,1,eb172b,ffffff,
17,Swansea City,Swansea,74,73,75,1,ffffff,000000,
18,Tottenham Hotspur,Tottenham,77,77,78,1,ffffff,001c58,
19,West Bromwich Albion,West Brom,72,74,75,1,ffffff,091453,
20,West Ham United,West Ham,75,75,76,1,60223b,80bfff,
21,Birmingham City,Birmingham,67,67,67,2,254ea2,ffffff,
22,Blackburn Rovers,Blackburn,67,68,70,2,1007b0,ffffff,
23,Blackpool,Blackpool,62,65,62,2,ff8e02,ffffff,
24,Bolton Wanderers,Bolton,66,66,69,2,ffffff,172442,
25,AFC Bournemouth,Bournemouth,67,69,70,2,f50c13,000000,
26,Brentford,Brentford,67,68,68,2,dc351b,ffffff,
27,Brighton & Hove Albion,Brighton,68,67,66,2,005daa,ffffff,
28,Cardiff City,Cardiff,69,66,67,2,0000cc,ffffff,
29,Charlton Athletic,Charlton,67,67,68,2,d4021d,ffffff,
30,Derby County,Derby,69,70,72,2,ffffff,000000,
31,Fulham,Fulham,68,70,68,2,ffffff,000000,
32,Huddersfield Town,Huddersfield,67,67,67,2,003990,ffffff,
33,Ipswich Town,Ipswich,68,68,68,2,3a64a2,ffffff,
34,Leeds United,Leeds,66,66,66,2,ffffff,2e4f9e,
35,Middlesbrough,Middlesbrough,68,68,70,2,d5020e,ffffff,
36,Millwall,Millwall,65,66,65,2,002060,ffffff,
37,Norwich City,Norwich,70,71,69,2,fff200,00a650,
38,Nottingham Forest,Nottingham,68,67,70,2,e53233,ffffff,
39,Reading,Reading,68,67,67,2,ffffff,004494,
40,Rotherham United,Rotherham,64,65,65,2,e44538,ffffff,
41,Sheffield Wednesday,Sheffield Wed,66,66,66,2,005fab,ffffff,
42,Watford,Watford,69,69,70,2,fbee23,ed2127,
43,Wigan Athletic,Wigan,67,66,66,2,1d59af,ffffff,
44,Wolverhampton Wanderers,Wolves,66,67,69,2,faa61a,000000,
45,Barnsley,Barnsley,,,,3,de312d,ffffff,
46,Bradford City,Bradford,,,,3,fbb850,84424a,
47,Bristol City,Bristol City,,,,3,d3365e,ffffff,
48,Chesterfield,Chesterfield,,,,3,004890,ffffff,
49,Colchester United,Colchester,,,,3,2191cc,ffffff,
50,Coventry City,Coventry,,,,3,9accff,003366,
51,Crawley Town,Crawley,,,,3,b5312c,ffffff,
52,Crewe Alexandra,Crewe,,,,3,d52c1f,ffffff,
53,Doncaster Rovers,Doncaster,,,,3,d82127,ffffff,
54,Fleetwood Town,Fleetwood,,,,3,db2922,ffffff,
55,Gillingham,Gillingham,,,,3,1a5dad,ffffff,
56,Leyton Orient,Leyton Orient,,,,3,ec1b24,ffffff,
57,Milton Keynes Dons,MK Dons,,,,3,ffffff,000000,
58,Notts County,Notts County,,,,3,000000,ffffff,333333
59,Oldham Athletic,Oldham,,,,3,004599,ffffff,
60,Peterborough United,Peterborough,,,,3,0067b4,ffffff,
61,Port Vale,Port Vale,,,,3,ffffff,000000,
62,Preston North End,Preston,,,,3,ffffff,061a3f,
63,Rochdale,Rochdale,,,,3,015297,000000,
64,Scunthorpe United,Scunthorpe,,,,3,00acdd,a83249,
65,Sheffield United,Sheffield Utd,,,,3,ee2227,ffffff,
66,Swindon Town,Swindon,,,,3,dc161b,ffffff,
67,Walsall,Walsall,,,,3,ed1a38,ffffff,
68,Yeovil Town,Yeovil,,,,3,4dac26,ffffff,
69,Accrington Stanley,Accrington,,,,4,a53421,ffffff,
70,AFC Wimbledon,Wimbledon,,,,4,2b4790,fff200,
71,Burton Albion,Burton,,,,4,fff202,000000,
72,Bury,Bury,,,,4,ffffff,57688d,
73,Cambridge United,Cambridge,,,,4,fbb948,000000,
74,Carlisle United,Carlisle,,,,4,1d6fb8,ffffff,
75,Cheltenham Town,Cheltenham,,,,4,ffffff,ff001a,
76,Dagenham & Redbridge,Dag & Red,,,,4,ef4924,024fa4,
77,Exeter City,Exeter,,,,4,ff0000,ffffff,
78,Hartlepool United,Hartlepool,,,,4,0354a2,ffffff,
79,Luton Town,Luton,,,,4,f78f1e,002d62,
80,Mansfield Town,Mansfield,,,,4,faac28,2d579b,
81,Morecambe,Morecambe,,,,4,b81522,ffffff,
82,Newport County,Newport,,,,4,efb717,000000,
83,Northampton Town,Northampton,,,,4,8a2240,ffffff,
84,Oxford United,Oxford,,,,4,f4eb3b,214080,
85,Plymouth Argyle,Plymouth,,,,4,004f3e,ffffff,
86,Portsmouth,Portsmouth,,,,4,0064ae,ffffff,
87,Shrewsbury Town,Shrewsbury,,,,4,2b58af,f9b10c,
88,Southend United,Southend,,,,4,003a80,ffffff,
89,Stevenage,Stevenage,,,,4,ffffff,ff311a,
90,Tranmere Rovers,Tranmere,,,,4,ffffff,004494,
91,Wycombe Wanderers,Wycombe,,,,4,4eb6e3,003362,
92,York City,York,,,,4,ed192d,1a377b,
